epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,1515.11,0.6481,0.57202,1.16331,0.77388,0.50025,0.54845,0.29762,1.71979,1.63569,2.18634,0.0001948,0.0001948,0.0001948
124,1527.42,0.6359,0.57597,1.14473,0.72471,0.49988,0.54383,0.29052,1.71815,1.68683,2.15672,0.0001882,0.0001882,0.0001882
125,1539.33,0.62233,0.54924,1.14187,0.66312,0.50118,0.52075,0.28446,1.75242,1.70935,2.211,0.0001816,0.0001816,0.0001816
126,1551.31,0.63891,0.57707,1.15391,0.68965,0.47344,0.5208,0.28302,1.67079,1.72336,2.13832,0.000175,0.000175,0.000175
127,1563.31,0.63276,0.55269,1.15063,0.70418,0.45916,0.52372,0.28433,1.76341,1.75722,2.23016,0.0001684,0.0001684,0.0001684
128,1575.39,0.6253,0.54139,1.13023,0.6407,0.49591,0.52606,0.28203,1.75071,1.80396,2.21208,0.0001618,0.0001618,0.0001618
129,1587.33,0.65021,0.57788,1.15757,0.71035,0.48014,0.54653,0.29293,1.73337,1.87292,2.21508,0.0001552,0.0001552,0.0001552
130,1599.25,0.614,0.5432,1.13705,0.6463,0.49479,0.54098,0.29712,1.73964,1.79772,2.24522,0.0001486,0.0001486,0.0001486
131,1611.25,0.60749,0.5417,1.13082,0.69697,0.491,0.54658,0.29815,1.74534,1.82924,2.2332,0.000142,0.000142,0.000142
132,1623.54,0.61389,0.55395,1.14112,0.71444,0.50783,0.54897,0.28467,1.7596,1.80932,2.25588,0.0001354,0.0001354,0.0001354
133,1635.5,0.60936,0.54417,1.13803,0.70495,0.48245,0.53273,0.28575,1.77235,1.72395,2.25953,0.0001288,0.0001288,0.0001288
134,1647.48,0.58535,0.52553,1.11417,0.69315,0.50358,0.53331,0.28933,1.74919,1.65232,2.26773,0.0001222,0.0001222,0.0001222
135,1659.48,0.59007,0.52209,1.12199,0.66959,0.51313,0.52918,0.28617,1.72284,1.65884,2.2183,0.0001156,0.0001156,0.0001156
136,1671.56,0.59416,0.5202,1.11666,0.75434,0.48614,0.53779,0.28936,1.72067,1.71654,2.24257,0.000109,0.000109,0.000109
137,1683.56,0.58595,0.51972,1.11794,0.74452,0.47145,0.52524,0.28932,1.71795,1.75521,2.24616,0.0001024,0.0001024,0.0001024
138,1695.53,0.57604,0.51167,1.10272,0.68556,0.50746,0.53007,0.29111,1.67917,1.71589,2.22195,9.58e-05,9.58e-05,9.58e-05
139,1707.54,0.5914,0.53421,1.12702,0.67012,0.49223,0.5234,0.28334,1.70677,1.71628,2.22865,8.92e-05,8.92e-05,8.92e-05
140,1719.48,0.57643,0.51996,1.10504,0.66366,0.51788,0.52615,0.28529,1.73357,1.72176,2.29858,8.26e-05,8.26e-05,8.26e-05
141,1735.88,0.61355,0.44908,1.02907,0.67103,0.4859,0.5205,0.2804,1.73635,1.67768,2.3275,7.6e-05,7.6e-05,7.6e-05
142,1748.01,0.6143,0.42691,1.02065,0.68293,0.47829,0.51685,0.2813,1.7019,1.7208,2.26759,6.94e-05,6.94e-05,6.94e-05
143,1759.97,0.61588,0.41322,1.01131,0.64601,0.50204,0.52837,0.28622,1.70828,1.73,2.22331,6.28e-05,6.28e-05,6.28e-05
144,1771.79,0.59057,0.38864,1.00288,0.67791,0.46844,0.52564,0.2823,1.73725,1.74871,2.24824,5.62e-05,5.62e-05,5.62e-05
145,1783.68,0.60779,0.41077,1.0083,0.64287,0.51481,0.52703,0.28694,1.72823,1.7699,2.25011,4.96e-05,4.96e-05,4.96e-05
146,1795.56,0.55913,0.38532,0.98532,0.69351,0.48101,0.52873,0.28789,1.70816,1.71331,2.2741,4.3e-05,4.3e-05,4.3e-05
147,1807.33,0.58046,0.39099,0.98537,0.71887,0.47847,0.53851,0.29206,1.70412,1.73349,2.26462,3.64e-05,3.64e-05,3.64e-05
148,1819.22,0.58999,0.38239,0.98323,0.73791,0.47375,0.53743,0.28963,1.7001,1.74624,2.26296,2.98e-05,2.98e-05,2.98e-05
149,1831.05,0.56934,0.381,0.97767,0.74216,0.48429,0.54207,0.2913,1.69512,1.71554,2.25268,2.32e-05,2.32e-05,2.32e-05
150,1842.94,0.60111,0.3921,0.98454,0.73263,0.48326,0.54812,0.29465,1.69425,1.70257,2.24967,1.66e-05,1.66e-05,1.66e-05
